,,,2018-19 School Grades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Legend for School Types: 01=Elementary; 02=Middle; 03=High; 04=Combination ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Additional information is available in the School Grades calculations guide at http://www.fldoe.org/accountability/accountability-reporting/school-grades/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District Number,District Name,School Number,School Name,Total Points Earned,Total Components,Percent of Total Possible Points,Percent Tested,Grade 2019,Grade 2018,Grade 2017,Grade 2016,Informational Baseline Grade 2015,Grade 2014,Grade 2013,Grade 2012,Grade 2011,Grade 2010,Grade 2009,Grade 2008,Grade 2007,Grade 2006,Grade 2005,Grade 2004,Grade 2003,Grade 2002,Grade 2001,Grade 2000,Grade 1999,Was the collocated rule used?,Collocated Number,Charter School,Title I,Alternative/ESE Center School,School Type,Percent of Minority Students,Percent of Economically Disadvantaged Students
1,ALACHUA,411,PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH SCHOOL,663,10,66,98,A,B,C,B,B,B,B,B,A,D,C,C,F,D,D,P,,,,,,N,,NO,NO,N,3,44.3,62.2
1,ALACHUA,421,EASTSIDE HIGH SCHOOL,533,10,53,97,C,B,B,C,A,A,B,A,B,A,D,B,C,D,C,B,B,B,B,A,C,N,,NO,NO,N,3,77.2,77.2
1,ALACHUA,431,F. W. BUCHHOLZ HIGH SCHOOL,667,10,67,97,A,A,A,A,A,A,B,A,A,A,B,A,A,A,B,B,A,A,A,A,C,N,,NO,NO,N,3,44.8,30.8
1,ALACHUA,461,HIGH SPRINGS COMMUNITY SCHOOL,608,9,68,99,A,A,A,A,A,C,B,A,A,A,A,A,A,A,A,,,,,,,N,,NO,NO,N,4,25.9,61.2
1,ALACHUA,481,FORT CLARKE MIDDLE SCHOOL,523,9,58,99,B,B,B,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,C,B,C,N,,NO,NO,N,2,58.5,64.4
1,ALACHUA,482,HIDDEN OAK ELEMENTARY SCHOOL,533,7,76,100,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,N,,NO,YES,N,1,52.1,35
1,ALACHUA,501,KIMBALL WILES ELEMENTARY SCHOOL,425,7,61,99,B,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,B,B,N,,NO,YES,N,1,55.1,59.5
1,ALACHUA,502,KANAPAHA MIDDLE SCHOOL,550,9,61,99,B,B,B,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,C,A,C,N,,NO,NO,N,2,58.5,64.6
1,ALACHUA,510,LAWTON M. CHILES ELEMENTARY SCHOOL,453,7,65,99,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,B,N,,N,,NO,YES,N,1,49.2,55.5
1,ALACHUA,520,MEADOWBROOK ELEMENTARY SCHOOL,513,7,73,100,A,A,A,C,A,A,B,,,,,,,,,,,,,,,N,,NO,YES,N,1,42.7,34.7
1,ALACHUA,531,NEWBERRY ELEMENTARY SCHOOL,302,6,50,100,C,C,B,A,B,A,A,B,A,A,A,B,B,A,A,A,B,C,C,B,C,N,,NO,YES,N,1,38.2,74.3
1,ALACHUA,541,C. W. NORTON ELEMENTARY SCHOOL,381,7,54,100,B,B,B,B,B,D,C,C,B,B,A,A,A,A,A,A,A,A,B,A,A,N,,NO,YES,N,1,57.4,83.2
1,ALACHUA,561,WILLIAM S. TALBOT ELEM SCHOOL,396,7,57,100,B,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,N,,NO,YES,N,1,43.1,51.8
1,ALACHUA,591,OAK VIEW MIDDLE SCHOOL,557,9,62,98,A,A,B,B,A,C,B,A,A,B,B,B,C,B,B,B,B,B,B,A,C,N,,NO,NO,N,4,37.2,57.5
1,ALACHUA,950,THE ONE ROOM SCHOOL HOUSE PROJECT,419,7,60,100,B,C,C,B,C,F,,B,A,A,,C,,B,A,,,,,,,N,,YES,YES,N,1,79.1,100
1,ALACHUA,951,"MICANOPY AREA COOPERATIVE SCHOOL, INC.",478,7,68,99,A,A,A,A,A,A,B,A,A,A,A,A,A,B,A,A,N,,,,,N,,YES,YES,N,1,19.8,50.7
1,ALACHUA,953,CARING & SHARING LEARNING SCHOOL,280,7,40,100,D,B,A,B,C,C,B,F,,,,,P,D,F,D,,,,,,N,,YES,YES,N,1,99.6,100
1,ALACHUA,956,EXPRESSIONS LEARNING ARTS ACADEMY,431,5,86,100,A,A,A,A,A,A,B,,,,,,,,,,,,,,,N,,YES,NO,N,1,37.6,25.9
