,,,2018-19 School Grades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Legend for School Types: 01=Elementary; 02=Middle; 03=High; 04=Combination ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Additional information is available in the School Grades calculations guide at http://www.fldoe.org/accountability/accountability-reporting/school-grades/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District Number,District Name,School Number,School Name,English Language Arts Achievement,English Language Arts Learning Gains,English Language Arts Learning Gains of the Lowest 25%,Mathematics Achievement,Mathematics Learning Gains,Mathematics Learning Gains of the Lowest 25%,Science Achievement,Social Studies Achievement,Middle School Acceleration,Graduation Rate 2017-18,College and Career Acceleration 2017-18,Total Points Earned,Total Components,Percent of Total Possible Points,Percent Tested,Grade 2019,Grade 2018,Grade 2017,Grade 2016,Informational Baseline Grade 2015,Grade 2014,Grade 2013,Grade 2012,Grade 2011,Grade 2010,Grade 2009,Grade 2008,Grade 2007,Grade 2006,Grade 2005,Grade 2004,Grade 2003,Grade 2002,Grade 2001,Grade 2000,Grade 1999,Was the collocated rule used?,Collocated Number,Charter School,Title I,Alternative/ESE Center School,School Type,Percent of Minority Students,Percent of Economically Disadvantaged Students
05,BREVARD,6511,EDUCATIONAL HORIZONS CHARTER,85,66,,89,83,,73,,,,,396,5,79,100,A,A,A,A,B,B,,,,,,,,,,,,,,,,N,,YES,NO,N,01,33.9,29.2
05,BREVARD,6515,IMAGINE SCHOOLS AT WEST MELBOURNE,54,61,71,47,62,57,48,,,,,400,7,57,98,B,C,C,D,F,F,D,D,F,C,C,C,D,C,C,,,,,,,N,,YES,YES,N,01,55.3,100
05,BREVARD,6523,EMMA JEWEL CHARTER ACADEMY,30,46,58,45,56,53,24,77,,,,389,8,49,99,C,C,C,D,F,F,,,,,,,,,,,,,,,,N,,YES,YES,N,04,91,100
05,BREVARD,6540,VIERA CHARTER SCHOOL,79,64,55,82,75,61,78,92,68,,,654,9,73,100,A,A,A,A,A,A,,,,,,,,,,,,,,,,N,,YES,NO,N,04,27.6,20.7
05,BREVARD,6541,ODYSSEY PREPARATORY CHARTER ACADEMY,62,60,53,67,70,48,67,,,,,427,7,61,99,B,B,B,C,C,F,,,,,,,,,,,,,,,,N,,YES,YES,N,01,58.3,100
05,BREVARD,6543,PINEAPPLE COVE CLASSICAL ACADEMY,69,54,44,77,69,64,68,82,43,,,570,9,63,98,A,A,A,C,,,,,,,,,,,,,,,,,,N,,YES,NO,N,04,32.6,26.2
05,BREVARD,6546,LEGACY ACADEMY CHARTER,43,31,33,27,40,50,13,,,,,237,7,34,98,D,C,,,,,,,,,,,,,,,,,,,,N,,YES,NO,N,01,41.9,39
05,BREVARD,6554,PINEAPPLE COVE CLASSICAL ACADEMY AT WEST MELBOURNE,73,63,61,59,47,52,68,,,,,423,7,60,99,B,,,,,,,,,,,,,,,,,,,,,N,,YES,NO,N,01,31,23.3
05,BREVARD,7004,BREVARD VIRTUAL FRANCHISE,71,65,53,57,44,25,67,71,57,88,71,669,11,61,94,B,A,,B,A,B,,,,,,,,,,,,,,,,N,,NO,NO,N,04,34.9,4.4
06,BROWARD,0011,DEERFIELD BEACH ELEMENTARY SCHOOL,51,66,58,54,60,41,31,,,,,361,7,52,100,C,D,C,C,C,C,C,B,A,C,A,A,A,A,A,A,C,B,A,C,C,N,,NO,YES,N,01,76.7,77
06,BROWARD,0021,POMPANO BEACH MIDDLE SCHOOL,47,55,38,48,47,33,40,57,63,,,428,9,48,98,C,C,C,C,C,C,D,C,B,B,B,A,C,B,B,B,B,B,C,C,C,N,,NO,YES,N,02,83.3,79.1
06,BROWARD,0031,OAKLAND PARK ELEMENTARY SCHOOL,50,67,80,41,51,48,18,,,,,355,7,51,100,C,C,C,F,D,C,C,B,A,B,A,A,A,C,A,A,B,A,A,C,C,N,,NO,YES,N,01,91.5,91.8
06,BROWARD,0041,NORTH SIDE ELEMENTARY SCHOOL,39,60,59,53,69,38,31,,,,,349,7,50,100,C,F,D,D,F,D,C,B,C,C,A,D,B,B,C,C,D,C,D,D,D,N,,NO,YES,N,01,98.4,97.1
06,BROWARD,0101,DANIA ELEMENTARY SCHOOL,59,56,51,76,87,72,55,,,,,456,7,65,100,A,A,B,B,A,B,C,B,A,A,A,A,A,B,B,B,C,C,C,C,D,N,,NO,YES,N,01,79,80.9
06,BROWARD,0111,HOLLYWOOD HILLS ELEMENTARY SCHOOL,68,55,46,71,66,44,55,,,,,405,7,58,99,B,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,C,N,,NO,YES,N,01,66.5,50.7
06,BROWARD,0121,HOLLYWOOD CENTRAL ELEMENTARY SCHOOL,43,59,56,39,47,32,31,,,,,307,7,44,100,C,C,C,C,C,C,C,B,B,A,A,A,B,A,B,A,A,C,C,A,C,N,,NO,YES,N,01,72.1,76.7
06,BROWARD,0131,GULFSTREAM ACADEMY OF HALLANDALE BEACH,48,58,50,53,62,50,40,72,73,,,506,9,56,99,B,B,C,C,C,B,C,B,A,B,A,A,A,A,A,A,A,A,B,A,D,N,,NO,YES,N,04,88.9,88.5
