OBJECTID,Case Number,Crime Type,Crime Type Extension,Reported Date,Address,zip
1211632,2020-98255           ,THEFT,PETIT THEFT - ALL OTHER,02/06/2020,18800 BLOCK GUNN HW,33556
1211472,2020-60103           ,TRAFFIC,Property Damage,02/05/2020,VAN DYKE RD  /  GUNN HW,33556
1211455,2020-94365           ,TRAFFIC,Property Damage,02/05/2020,PATTERSON RD  /  RACE TRACK RD,33556
1211436,2020-95666           ,TRAFFIC,Property Damage,02/05/2020,NORTH MOBLEY RD  /  GUNN HW,33556
1211789,2020-98975           ,TRAFFIC,Non Incapacitating Injury,02/06/2020,RACE TRACK RD  /  MCGLAMERY RD,33556
1211893,2020-100693          ,FRAUD,FRAUD-OTHER,02/07/2020,15600 BLOCK INDIAN QUEEN DR,33556
1212254,2020-103625          ,THEFT,THEFT FROM A BUILDING,02/08/2020,7600 BLOCK DUNBRIDGE DR,33556
1212826,2020-112105          ,TRAFFIC,Property Damage,02/11/2020,LUTZ LAKE FERN RD  /  GUNN HW,33556
1212859,2020-110711          ,TRAFFIC,Non Incapacitating Injury,02/11/2020,GUNN HW  /  BINDER RD,33556
1213086,2020-114452          ,FRAUD,FRAUD-OTHER,02/12/2020,18100 BLOCK GUNN HW,33556
1213201,2020-114995          ,TRAFFIC,Property Damage,02/12/2020,GUNN HW  /  NORTH MOBLEY RD,33556
1214161,2020-1500228         ,FRAUD,FRAUD-IMPERSONATION,02/17/2020,16100 BLOCK SUNCREST SHORES DR,33556
1214265,2020-126513          ,TRAFFIC,Property Damage,02/17/2020,GUNN HW  /  RACE TRACK RD,33556
1214277,2020-128541          ,TRAFFIC,Non Incapacitating Injury,02/17/2020,PATTERSON RD  /  EAGLES ENTRY DR,33556
1214404,2019-658796          ,TRAFFIC,Fatal Injury,02/18/2020,VAN DYKE RD / BROWN RD,33556
1214589,2020-131503          ,TRAFFIC,Property Damage,02/18/2020,TARPON SPRINGS RD  /  TYLER RD,33556
1214604,2019-658796          ,TRAFFIC,Fatal Injury,02/18/2020,VAN DYKE RD / BROWN RD,33556
1214757,2020-134934          ,TRAFFIC,Property Damage,02/19/2020,RACE TRACK RD  /  PATTERSON RD,33556
1214760,2020-134278          ,TRAFFIC,Property Damage,02/19/2020,GUNN HW  /  WAYNE RD,33556
1214763,2020-134676          ,TRAFFIC,Property Damage,02/19/2020,GUNN HW  /  OLD COUNTRY RD,33556
1215024,2020-136082          ,TRAFFIC,Property Damage,02/20/2020,RACE TRACK RD  /  PONY EXPRESS WY,33556
1215072,2020-137485          ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,02/20/2020,10400 BLOCK LAKE GROVE DR,33556
1215201,2020-140316          ,TRAFFIC,Property Damage,02/21/2020,RACE TRACK RD  /  GATOR HOLE RD,33556
1215317,2020-142629          ,BATTERY,BATTERY-SIMPLE,02/22/2020,1800 BLOCK UPPER TAMPA BAY TL,33556
1215400,2020-143031          ,DUI,DUI (DRIVING UNDER INFLUENCE),02/22/2020,BOY SCOUT RD  /  CASTLEBERRY RD,33556
1215416,2020-141130          ,TRAFFIC,Property Damage,02/22/2020,BOY SCOUT RD  /  GROVE LN,33556
1215417,2020-142851          ,TRAFFIC,Property Damage,02/22/2020,BOY SCOUT RD  /  CASTLEBERRY RD,33556
