OBJECTID,Case Number,Crime Type,Crime Type Extension,Reported Date,Address,zip
1215631,2020-148394          ,BATTERY,BATTERY-SIMPLE,02/24/2020,17600 BLOCK GUNN HW,33556
1215688,2020-148521          ,DUI,DUI (DRIVING UNDER INFLUENCE),02/24/2020,16800 BLOCK GUNN HW,33556
1215761,2020-146503          ,DRUGS,DRUGS/NARCOTICS,02/24/2020,BOY SCOUT RD  /  OAKLEY SCOTT LN,33556
1215857,2020-146545          ,FRAUD,FRAUD-OTHER,02/24/2020,6900 BLOCK AQUEDUCT TR,33556
1215932,2020-150512          ,BURGLARY,BURGLARY RESIDENCE / FORCED,02/25/2020,16900 BLOCK CRAWLEY RD,33556
1216039,2020-149558          ,TRAFFIC,Incapacitating,02/25/2020,PATTERSON RD  /  SILVER DOLLAR DR,33556
1216042,2020-150546          ,TRAFFIC,Property Damage,02/25/2020,BOY SCOUT RD  /  CASTLEBERRY RD,33556
1216721,2020-157655          ,FRAUD,FRAUD-SWINDLE,02/28/2020,7700 BLOCK HORSE POND RD,33556
1216797,2020-157488          ,TRAFFIC,Property Damage,02/28/2020,GUNN HW  /  VAN DYKE RD,33556
1217289,2020-165742          ,TRAFFIC,Property Damage,03/02/2020,GUNN HW  /  NORTH MOBLEY RD,33556
1217325,2020-166590          ,TRAFFIC,Property Damage,03/02/2020,TARPON SPRINGS RD  /  INDIANA AV,33556
1217798,2020-171842          ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,03/04/2020,19500 BLOCK SHADY HAMMOCK LN,33556
1217598,2020-168766          ,TRAFFIC,Property Damage,03/03/2020,GUNN HW  /  TARPON SPRINGS RD,33556
1218087,2020-174228          ,BURGLARY,THEFT FROM A VEHICLE,03/05/2020,17800 BLOCK WILLOW LAKE DR,33556
1218970,2020-182897          ,TRAFFIC,Property Damage,03/09/2020,EAGLES ENTRY DR  /  NINE EAGLES DR,33556
1219538,2020-192113          ,THEFT,PETIT THEFT - ALL OTHER,03/12/2020,8200 BLOCK NORTH MOBLEY RD,33556
1219623,2020-191386          ,TRAFFIC,Property Damage,03/12/2020,GUNN HW  /  OLD COUNTRY RD,33556
1219756,2020-1500360         ,FRAUD,FRAUD-IMPERSONATION,03/13/2020,13100 BLOCK TARPON SPRINGS RD,33556
1219922,2020-193768          ,TRAFFIC,Non Incapacitating Injury,03/13/2020,GUNN HW  /  VAN DYKE RD,33556
1219972,2020-196563          ,THEFT,THEFT MOTOR VEHICLE PARTS,03/14/2020,13200 BLOCK ROYAL GEORGE AV,33556
1220267,2020-199321          ,DUI,DUI (DRIVING UNDER INFLUENCE),03/15/2020,17000 BLOCK LAKE JAMES RD,33556
1221110,2020-208590          ,TRAFFIC,Property Damage,03/20/2020,GUNN HW  /  MISTY MORNING TL,33556
1221580,2020-214216          ,TRAFFIC,Non Incapacitating Injury,03/23/2020,EASTBOURN DR  /  ROYAL DUBLIN AV,33556
1222002,2020-221860          ,TRAFFIC,Non Incapacitating Injury,03/26/2020,PATTERSON RD  /  SILVER DOLLAR DR,33556
1221667,2020-217165          ,THEFT,GRAND THEFT - ALL OTHER,03/24/2020,9400 BLOCK TILLOTSON CT,33556
1222578,2020-229409          ,THEFT,THEFT OF BICYCLE,03/30/2020,16600 BLOCK HUTCHISON RD,33556
1223122,2020-238816          ,BATTERY,BATTERY-SIMPLE,04/03/2020,16900 BLOCK SILVER SHORES LN,33556
1223484,2020-240903          ,DRUGS,DRUGS/NARCOTICS,04/05/2020,DOLCE VITA LN  /  GUNN HW,33556
1223485,2020-240903          ,DUI,DUI (DRIVING UNDER INFLUENCE),04/05/2020,DOLCE VITA LN  /  GUNN HW,33556
1224042,2020-250318          ,BATTERY,BATTERY-SIMPLE,04/09/2020,17200 BLOCK BREEDERS CUP DR,33556
1224107,2020-250986          ,THEFT,THEFT FROM A BUILDING,04/10/2020,11600 BLOCK TARPON SPRINGS RD,33556
1224339,2020-255466          ,BURGLARY,THEFT FROM A VEHICLE,04/12/2020,7000 BLOCK LUTZ LAKE FERN RD,33556
1224340,2020-255466          ,FRAUD,FRAUD-CREDIT CARD,04/12/2020,7000 BLOCK LUTZ LAKE FERN RD,33556
1224771,2020-198526          ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,04/15/2020,8700 BLOCK LAKE CALM LN,33556
1224514,2020-257066          ,TRAFFIC,Non Incapacitating Injury,04/13/2020,GUNN HW  /  COSME RD,33556
1224914,2020-1500685         ,FRAUD,FRAUD-SWINDLE,04/15/2020,12800 BLOCK KILLARNEY CT,33556
1225044,2020-263073          ,TRAFFIC,Property Damage,04/16/2020,RACE TRACK RD  /  GUNN HW,33556
1225065,2020-263726          ,TRAFFIC,Property Damage,04/16/2020,GUNN HW  /  LUTZ LAKE FERN RD,33556
1225255,2020-267872          ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,04/18/2020,17100 BLOCK RAINBOW TR,33556
1225278,2020-266685          ,THEFT,GRAND THEFT - ALL OTHER,04/18/2020,8500 BLOCK NORTHTON GROVES BL,33556
1225279,2020-266685          ,DRUGS,DRUGS/NARCOTICS,04/18/2020,8500 BLOCK NORTHTON GROVES BL,33556
1225280,2020-266685          ,DRUGS,DRUG PARAPHERNALIA,04/18/2020,8500 BLOCK NORTHTON GROVES BL,33556
1225314,2020-268082          ,TRAFFIC,Property Damage,04/18/2020,PATTERSON RD  /  TARPON SPRINGS RD,33556
1225446,2020-269146          ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,04/19/2020,17600 BLOCK GUNN HW,33556
1225743,2020-273828          ,TRAFFIC,Incapacitating,04/21/2020,17900 BLOCK PATTERSON RD,33556
1226466,2020-283069          ,TRAFFIC,Property Damage,04/26/2020,VAN DYKE RD  /  GUNN HW,33556
1227167,2020-290748          ,TRAFFIC,Property Damage,04/30/2020,GUNN HW  /  RACE TRACK RD,33556
1227315,2020-292933          ,TRAFFIC,Non Incapacitating Injury,05/01/2020,PATTERSON RD  /  TARPON SPRINGS RD,33556
1227677,2020-297584          ,DRUGS,DRUGS/NARCOTICS,05/04/2020,TARPON SPRINGS RD  /  TYLER RD,33556
1227678,2020-297584          ,DRUGS,DRUG PARAPHERNALIA,05/04/2020,TARPON SPRINGS RD  /  TYLER RD,33556
1227744,2020-1500887         ,FRAUD,FRAUD-CREDIT CARD,05/04/2020,8500 BLOCK GUNN HW,33556
1227938,2020-300399          ,TRAFFIC,Property Damage,05/05/2020,VAN DYKE RD  /  VAN DYKE FARMS BL,33556
1227941,2020-300010          ,TRAFFIC,Non Incapacitating Injury,05/05/2020,LAKE KEY DR  /  LAKE KEYWAY CT,33556
1228519,2020-1500961         ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,05/08/2020,12600 BLOCK PORTMARNOCK DR,33556
1228584,2020-307388          ,TRAFFIC,Property Damage,05/08/2020,TARPON SPRINGS RD  /  JIRETZ RD,33556
1228706,2020-310308          ,TRAFFIC,Property Damage,05/09/2020,GUNN HW  /  ARTILLERY LAKE DR,33556
1228888,2020-311179          ,TRAFFIC,Non Incapacitating Injury,05/10/2020,CRAWLEY RD  /  BOY SCOUT RD,33556
1229085,2020-314384          ,DRUGS,DRUGS/NARCOTICS,05/11/2020,17600 BLOCK GUNN HW,33556
1229086,2020-314384          ,DRUGS,DRUG PARAPHERNALIA,05/11/2020,17600 BLOCK GUNN HW,33556
1229727,2020-319461          ,THEFT,GRAND THEFT - ALL OTHER,05/14/2020,18900 BLOCK GUNN HW,33556
1229752,2020-323596          ,DRUGS,DRUGS/NARCOTICS,05/15/2020,8500 BLOCK GUNN HW,33556
1229753,2020-323596          ,DRUGS,DRUG PARAPHERNALIA,05/15/2020,8500 BLOCK GUNN HW,33556
1230563,2020-330143          ,TRAFFIC,Non Incapacitating Injury,05/19/2020,GUNN HW  /  VAN DYKE RD,33556
1230807,2020-334610          ,DRUGS,DRUGS/NARCOTICS,05/20/2020,LAKESIDE COVE CT  /  MEADOWLAKE ST,33556
1230808,2020-334610          ,DRUGS,DRUG PARAPHERNALIA,05/20/2020,LAKESIDE COVE CT  /  MEADOWLAKE ST,33556
1230882,2020-332702          ,DUI,DUI (DRIVING UNDER INFLUENCE),05/20/2020,HORSE POND RD  /  PETERSON RD,33556
1231123,2020-338129          ,FRAUD,FRAUD-OTHER,05/22/2020,16900 BLOCK EQUESTRIAN TL,33556
1232857,2020-361339          ,THEFT,PETIT THEFT - ALL OTHER,06/01/2020,16000 BLOCK CHASTAIN RD,33556
1232987,2020-362416          ,TRAFFIC,Property Damage,06/01/2020,GUNN HW  /  NORTH MOBLEY RD,33556
1233519,2020-369015          ,TRAFFIC,Property Damage,06/04/2020,GUNN HW  /  VAN DYKE RD,33556
1233566,2020-357337          ,HARASS,HARASSING/OBSCENE,06/04/2020,15000 BLOCK LAUREL COVE CR,33556
1233878,2020-372141          ,TRAFFIC,Non Incapacitating Injury,06/06/2020,PATTERSON RD  /  EAGLES ENTRY DR,33556
1234191,2020-377758          ,BATTERY,BATTERY-SIMPLE,06/08/2020,16300 BLOCK OFFENHAUR RD,33556
1234540,2020-381817          ,TRAFFIC,Non Incapacitating Injury,06/10/2020,GUNN HW  /  VIVIAN BASS WY,33556
1234575,2020-381073          ,FRAUD,FRAUD-IMPERSONATION,06/10/2020,17500 BLOCK BOY SCOUT RD,33556
1234799,2020-383506          ,DRUGS,DRUG TRAFFICKING/DELIVERY,06/11/2020,16700 BLOCK BOY SCOUT RD,33556
1235121,2020-378974          ,TRAFFIC,Property Damage,06/13/2020,17600 BLOCK GUNN HW,33556
1235460,2020-393117          ,TRAFFIC,Property Damage,06/15/2020,BOY SCOUT RD  /  RACE TRACK RD,33556
1235624,2020-395121          ,TRAFFIC,Property Damage,06/16/2020,RACE TRACK RD  /  FOSTER GROVE DR,33556
1235678,2020-395493          ,BURGLARY,BURGLARY RESIDENCE / NO FORCE,06/16/2020,16100 BLOCK BELLE MEADE BL,33556
1236330,2020-405057          ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,06/20/2020,16300 BLOCK OFFENHAUR RD,33556
1236427,2020-404561          ,TRAFFIC,Property Damage,06/20/2020,GUNN HW  /  VAN DYKE RD,33556
1236603,2020-406773          ,TRAFFIC,Property Damage,06/21/2020,GUNN HW  /  RACE TRACK RD,33556
1236708,2020-1501532         ,FRAUD,FRAUD-IMPERSONATION,06/22/2020,17600 BLOCK PASTURE RD,33556
1236876,2020-1501472         ,FRAUD,FRAUD-SWINDLE,06/23/2020,9600 BLOCK BECKER CARSON TL,33556
1236971,2020-411402          ,TRAFFIC,Property Damage,06/23/2020,BOY SCOUT RD  /  TARPON SPRINGS RD,33556
1237343,2020-415787          ,TRAFFIC,Property Damage,06/25/2020,GUNN HW  /  TARPON SPRINGS RD,33556
1237467,2020-418408          ,TRAFFIC,Incapacitating,06/26/2020,PATTERSON RD  /  EAGLES ENTRY DR,33556
1238192,2020-427061          ,TRAFFIC,Property Damage,06/30/2020,GUNN HW  /  NORTH MOBLEY RD,33556
1238259,2020-426981          ,BATTERY,BATTERY-SIMPLE,06/30/2020,GUNN HW  /  NORTH MOBLEY RD,33556
1238260,2020-426981          ,DUI,DUI (DRIVING UNDER INFLUENCE),06/30/2020,GUNN HW  /  NORTH MOBLEY RD,33556
1238265,2020-427072          ,DUI,DUI (DRIVING UNDER INFLUENCE),06/30/2020,7200 BLOCK NORTH MOBLEY RD,33556
1238339,2020-427320          ,DRUGS,DRUGS/NARCOTICS,07/01/2020,GUNN HW  /  VAN DYKE RD,33556
1238340,2020-427320          ,DUI,DUI (DRIVING UNDER INFLUENCE),07/01/2020,GUNN HW  /  VAN DYKE RD,33556
1238877,2020-434883          ,ARSON,ARSON,07/04/2020,17700 BLOCK GUNN HW,33556
1238934,2020-427280          ,TRAFFIC,Incapacitating,07/04/2020,GUNN HW / ISBELL LN,33556
1239182,2020-335937          ,TRAFFIC,Fatal Injury,07/06/2020,PATTERSON RD  /  SILVER DOLLAR DR,33556
1239507,2020-440187          ,TRAFFIC,Property Damage,07/07/2020,GUNN HW  /  LUTZ LAKE FERN RD,33556
1239523,2020-441021          ,TRAFFIC,Property Damage,07/07/2020,GUNN HW  /  WAYNE RD,33556
1239535,2020-440567          ,THEFT,THEFT VEHICLE & OTHER MOBILE,07/07/2020,19700 BLOCK SPRING WILLOW CT,33556
1239536,2020-440567          ,BURGLARY,THEFT FROM A VEHICLE,07/07/2020,19700 BLOCK SPRING WILLOW CT,33556
1239684,2020-443712          ,TRAFFIC,Property Damage,07/08/2020,GUNN HW  /  BINDER RD,33556
1240124,2020-447627          ,FRAUD,FRAUD-OTHER,07/10/2020,15600 BLOCK EASTBOURN DR,33556
1240239,2020-450725          ,DUI,DUI (DRIVING UNDER INFLUENCE),07/11/2020,7000 BLOCK LUTZ LAKE FERN RD,33556
1240248,2020-451275          ,TRAFFIC,Property Damage,07/11/2020,PATTERSON RD  /  SILVER DOLLAR DR,33556
1240350,2020-453244          ,BATTERY,BATTERY ON ELDERLY - SIMPLE,07/12/2020,19100 BLOCK FORREST DR,33556
1240515,2020-454036          ,THEFT,GRAND THEFT - ALL OTHER,07/13/2020,17700 BLOCK GUNN HW,33556
1240576,2020-454762          ,TRAFFIC,Property Damage,07/13/2020,LUTZ LAKE FERN RD  /  PINE VALLEY DR,33556
1240602,2020-453326          ,MISCHIEF,CRIMINAL MISCHIEF FELONY,07/13/2020,16000 BLOCK MCGLAMERY RD,33556
1240732,2020-457086          ,TRAFFIC,Property Damage,07/14/2020,TARPON SPRINGS RD  /  BURRELL RD,33556
1240974,2020-459851          ,TRAFFIC,Property Damage,07/15/2020,RACE TRACK RD  /  GUNN HW,33556
1241033,2020-460490          ,THEFT,PETIT THEFT - ALL OTHER,07/16/2020,17800 BLOCK WILLOW LAKE DR,33556
1241107,2020-461863          ,BURGLARY,BURGLARY RESIDENCE / NO FORCE,07/16/2020,18300 BLOCK JORENE RD,33556
1241386,2020-449143          ,TRAFFIC,Fatal Injury,07/17/2020,GUNN HW / TARPON SPRINGS RD,33556
1241477,2020-465182          ,TRAFFIC,Property Damage,07/18/2020,7600 BLOCK COPELAND RD,33556
1241725,2020-469115          ,TRAFFIC,Property Damage,07/20/2020,GUNN HW  /  WAYNE RD,33556
1242123,2020-473580          ,THEFT,THEFT VEHICLE & OTHER MOBILE,07/22/2020,15200 BLOCK OCTAVIA LN,33556
1242244,2020-476646          ,THEFT,PETIT THEFT - ALL OTHER,07/23/2020,16700 BLOCK EAGLE OAK DR,33556
1242720,2020-479947          ,TRAFFIC,Non Incapacitating Injury,07/25/2020,LUTZ LAKE FERN RD  /  HIAWATHA RD,33556
1242762,2020-482991          ,TRAFFIC,Non Incapacitating Injury,07/26/2020,NORTH MOBLEY RD  /  FITZGERALD RD,33556
1242798,2020-482481          ,BURGLARY,BURGLARY RESIDENCE / FORCED,07/26/2020,19100 BLOCK ROGERS RD,33556
1243034,2020-483354          ,DUI,DUI (DRIVING UNDER INFLUENCE),07/27/2020,17000 BLOCK WINNERS CR,33556
1243174,2020-450071          ,TRAFFIC,Property Damage,07/28/2020,BOY SCOUT RD  /  GROVE LN,33556
1243379,2020-489165          ,TRAFFIC,Non Incapacitating Injury,07/29/2020,BOY SCOUT RD  /  CASTLEBERRY RD,33556
1243383,2020-489687          ,TRAFFIC,Property Damage,07/29/2020,GUNN HW  /  RACE TRACK RD,33556
1243722,2020-493675          ,TRAFFIC,Property Damage,07/31/2020,GUNN HW  /  NORTH MOBLEY RD,33556
1243766,2020-492574          ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,07/31/2020,8200 BLOCK NORTH MOBLEY RD,33556
1244053,2020-496316          ,TRAFFIC,Non Incapacitating Injury,08/02/2020,9200 BLOCK LONEY LAKE DR,33556
1244217,2020-499002          ,THEFT,PETIT THEFT - ALL OTHER,08/03/2020,7600 BLOCK LUTZ LAKE FERN RD,33556
1244516,2020-504009          ,TRAFFIC,Non Incapacitating Injury,08/05/2020,GUNN HW  /  KEYSTONE CROSSING BL,33556
1244498,2020-504606          ,TRAFFIC,Property Damage,08/05/2020,BOY SCOUT RD  /  ECHO LAKE DR,33556
1244418,2020-501160          ,TRAFFIC,Property Damage,08/04/2020,GUNN HW  /  VAN DYKE RD,33556
1244761,2020-505467          ,THEFT,GRAND THEFT - ALL OTHER,08/06/2020,17700 BLOCK GUNN HW,33556
1245038,2020-509369          ,MISCHIEF,CRIMINAL MISCHIEF FELONY,08/08/2020,15500 BLOCK EASTBOURN DR,33556
1245203,2020-513212          ,TRAFFIC,Property Damage,08/09/2020,WAYNE RD  /  COLONY DR,33556
1245241,2020-512871          ,BATTERY,BATTERY-SIMPLE,08/09/2020,15500 BLOCK EASTBOURN DR,33556
1245318,2020-512501          ,ASSAULT,AGGRAVATED ASSAULT,08/09/2020,15500 BLOCK EASTBOURN DR,33556
1245448,2020-505807          ,TRAFFIC,Fatal Injury,08/10/2020,LUTZ LAKE FERN RD / BARRIE ACRES TL,33558
1245478,2020-515042          ,TRAFFIC,Non Incapacitating Injury,08/10/2020,NINE EAGLES DR  /  ROYAL GEORGE AV,33556
1245882,2020-522101          ,TRAFFIC,Property Damage,08/13/2020,PATTERSON RD  /  SILVER DOLLAR DR,33556
1245904,2020-521288          ,TRAFFIC,Property Damage,08/13/2020,BOY SCOUT RD  /  CRAWLEY RD,33556
1245921,2020-520695          ,FRAUD,FRAUD-IMPERSONATION,08/13/2020,15600 BLOCK INDIAN QUEEN DR,33556
1246379,2020-524933          ,BURGLARY,THEFT FROM A VEHICLE,08/15/2020,19400 BLOCK WYNDMILL CR,33556
1246635,2020-530384          ,TRAFFIC,Property Damage,08/17/2020,GUNN HW  /  VAN DYKE RD,33556
1246942,2020-530894          ,TRAFFIC,Property Damage,08/18/2020,PATTERSON RD  /  TARPON SPRINGS RD,33556
1247011,2020-533843          ,TRAFFIC,Property Damage,08/19/2020,GUNN HW  /  BINDER RD,33556
1247012,2020-534365          ,TRAFFIC,Property Damage,08/19/2020,TARPON SPRINGS RD  /  TYLER RD,33556
1247013,2020-532993          ,TRAFFIC,Incapacitating,08/19/2020,PATTERSON RD  /  EAGLES ENTRY DR,33556
1248012,2020-544805          ,TRAFFIC,Incapacitating,08/24/2020,BOY SCOUT RD  /  ECHO LAKE DR,33556
1248014,2020-544863          ,TRAFFIC,Property Damage,08/24/2020,RACE TRACK RD  /  FOSTER GROVE DR,33556
1248036,2020-545505          ,TRAFFIC,Property Damage,08/24/2020,LUTZ LAKE FERN RD  /  GOLDENWAY DR,33556
1248102,2020-547561          ,TRAFFIC,Property Damage,08/25/2020,GUNN HW  /  VAN DYKE RD,33556
1248390,2020-548580          ,TRAFFIC,Property Damage,08/26/2020,GUNN HW  /  VAN DYKE RD,33556
1248523,2020-1502173         ,FRAUD,FRAUD-IMPERSONATION,08/27/2020,7600 BLOCK LAKE CYPRESS DR,33556
1248692,2020-554125          ,FRAUD,FRAUD-OTHER,08/28/2020,7200 BLOCK NORTH MOBLEY RD,33556
1248791,2020-554363          ,TRAFFIC,Property Damage,08/28/2020,GUNN HW  /  LUTZ LAKE FERN RD,33556
1248934,2020-556071          ,THEFT,THEFT VEHICLE & OTHER MOBILE,08/29/2020,GUNN HW  /  TARPON SPRINGS RD,33556
1249183,2020-560172          ,TRAFFIC,Property Damage,08/31/2020,CRAWLEY RD  /  TARPON SPRINGS RD,33556
1249344,2020-1502208         ,FRAUD,FRAUD-CREDIT CARD,09/01/2020,16300 BLOCK MCGLAMERY RD,33556
1249713,2020-564644          ,THEFT,PETIT THEFT - ALL OTHER,09/02/2020,19600 BLOCK MICHIGAN AV,33556
1249806,2020-566923          ,FRAUD,FRAUD-IMPERSONATION,09/03/2020,16400 BLOCK LAKE CHURCH DR,33556
1249970,2020-570249          ,TRAFFIC,Property Damage,09/04/2020,VAN DYKE RD  /  BROWN RD,33556
1251099,2020-582356          ,TRAFFIC,Property Damage,09/10/2020,VAN DYKE RD  /  RAMBLEWOOD RD,33556
1251121,2020-583490          ,TRAFFIC,Property Damage,09/10/2020,GUNN HW  /  LUTZ LAKE FERN RD,33556
1251496,2020-585577          ,TRAFFIC,Property Damage,09/11/2020,GUNN HW  /  PETERSON RD,33556
1251544,2020-587772          ,TRAFFIC,Property Damage,09/12/2020,PATTERSON RD  /  SILVER DOLLAR DR,33556
1251851,2020-589139          ,TRAFFIC,Non Incapacitating Injury,09/13/2020,TARPON SPRINGS RD  /  WAYNE RD,33556
1252333,2020-595374          ,TRAFFIC,Non Incapacitating Injury,09/16/2020,GUNN HW  /  BONNIE COVE LN,33556
1252340,2020-595925          ,TRAFFIC,Property Damage,09/16/2020,RACE TRACK RD  /  BOY SCOUT RD,33556
1252342,2020-596842          ,TRAFFIC,Non Incapacitating Injury,09/16/2020,LUTZ LAKE FERN RD  /  ANGEL LN,33556
1252347,2020-595235          ,TRAFFIC,Property Damage,09/16/2020,VAN DYKE RD  /  RAMBLEWOOD RD,33556
1252688,2020-598327          ,TRAFFIC,Non Incapacitating Injury,09/17/2020,GUNN HW  /  TARPON SPRINGS RD,33556
1252740,2020-598564          ,DUI,DUI (DRIVING UNDER INFLUENCE),09/17/2020,GUNN HW  /  LUTZ LAKE FERN RD,33556
1253451,2020-1502456         ,FRAUD,FRAUD-IMPERSONATION,09/21/2020,7600 BLOCK DUNBRIDGE DR,33556
1253462,2020-608983          ,TRAFFIC,Property Damage,09/22/2020,GUNN HW  /  CHATEAU DU SOLEIL LN,33556
1253703,2020-613247          ,DRUGS,DRUGS/NARCOTICS,09/23/2020,GUNN HW  /  WAYNE RD,33556
1253704,2020-613247          ,DRUGS,DRUG PARAPHERNALIA,09/23/2020,GUNN HW  /  WAYNE RD,33556
1253897,2020-614670          ,TRAFFIC,Non Incapacitating Injury,09/24/2020,GUNN HW  /  VAN DYKE RD,33556
1253955,2020-615321          ,DRUGS,DRUGS/NARCOTICS,09/24/2020,BOY SCOUT RD  /  TARPON SPRINGS RD,33556
1253956,2020-615321          ,DRUGS,DRUG PARAPHERNALIA,09/24/2020,BOY SCOUT RD  /  TARPON SPRINGS RD,33556
1254324,2020-618373          ,TRAFFIC,Non Incapacitating Injury,09/26/2020,GUNN HW  /  LUTZ LAKE FERN RD,33556
1254695,2020-623544          ,TRAFFIC,Property Damage,09/28/2020,GUNN HW  /  NORTH MOBLEY RD,33556
1254511,2020-620611          ,BATTERY,BATTERY-AGGRAVATED,09/27/2020,15900 BLOCK PHILLIPS RD,33556
1255022,2020-626065          ,TRAFFIC,Property Damage,09/29/2020,GUNN HW  /  RACE TRACK RD,33556
1255427,2020-631019          ,TRAFFIC,Incapacitating,10/01/2020,GUNN HW  /  MISTY MORNING TL,33556
1256029,2020-1502637         ,FRAUD,FRAUD-IMPERSONATION,10/04/2020,16400 BLOCK LAKE CHURCH DR,33556
1256307,2020-642250          ,TRAFFIC,Property Damage,10/06/2020,GUNN HW  /  VAN DYKE RD,33556
1256362,2020-641726          ,THEFT,THEFT FROM A BUILDING,10/06/2020,17800 BLOCK WAYNE RD,33556
1256798,2020-645920          ,TRAFFIC,Non Incapacitating Injury,10/08/2020,PATTERSON RD  /  SILVER DOLLAR DR,33556
1256815,2020-647281          ,TRAFFIC,Property Damage,10/08/2020,VAN DYKE RD  /  RAMBLEWOOD RD,33556
1256941,2020-646461          ,BATTERY,BATTERY-SIMPLE,10/08/2020,15000 BLOCK MEADOWLAKE ST,33556
1257122,2020-649284          ,FRAUD,FRAUD-IMPERSONATION,10/09/2020,7200 BLOCK NORTH MOBLEY RD,33556
1257583,2020-654932          ,TRAFFIC,Non Incapacitating Injury,10/11/2020,GUNN HW  /  BYS RN,33556
1257671,2020-657060          ,TRAFFIC,Property Damage,10/12/2020,PATTERSON RD  /  EAGLES ENTRY DR,33556
1258015,2020-657675          ,TRAFFIC,Property Damage,10/13/2020,PATTERSON RD  /  PATSY ACRES DR,33556
1258032,2020-659155          ,TRAFFIC,Non Incapacitating Injury,10/13/2020,GUNN HW  /  COPELAND RD,33556
1258094,2020-661401          ,TRAFFIC,Property Damage,10/14/2020,TARPON SPRINGS RD  /  PATTERSON RD,33556
1258467,2020-662748          ,TRAFFIC,Property Damage,10/15/2020,17700 BLOCK PATTERSON RD,33556
1258680,2020-666491          ,FIRE,FIRE INVESTIGATION,10/16/2020,8000 BLOCK PETERSON RD,33556
1258874,2020-668840          ,TRAFFIC,Property Damage,10/17/2020,8700 BLOCK GUNN HW,33556
